Rank,City,State,2018 Estimate,2010 Census,Change,2016 Land Area Km,2016 Land Area Mi,2016 Population Density km,2016 Population Density mi,Land Area,Water Area,Time Zone,Mayor,Airport,Official Website,Climate,Wiki link
271,Ventura, California,"111,128","106,433",+4.41%,21.8 sq mi,56.5 km2,"5,027/sq mi","1,941/km2",21.82 sq mi (56.50 km2),10.43 sq mi (27.03 km2)  32.53%,UTC−8 (Pacific),[2],,http://cityofventura.net,"Ventura has a Mediterranean climate, typical of most coastal California cities, with the sea breeze off the Pacific Ocean moderating temperatures. It is not uncommon for the city to be affected by Santa Ana winds off the Transverse Ranges on occasion, which increase temperatures dramatically.
","/wiki/Ventura,_California"
272,Centennial, Colorado,"110,831","100,377",+10.41%,29.5 sq mi,76.4 km2,"3,727/sq mi","1,439/km2",29.55 sq mi (76.53 km2),0.15 sq mi (0.38 km2),UTC-7 (MST),[3],,http://www.centennialco.gov/,,"/wiki/Centennial,_Colorado"
273,Lakeland, Florida,"110,516","97,422",+13.44%,65.9 sq mi,170.7 km2,"1,615/sq mi",624/km2,65.91 sq mi (170.70 km2),9.02 sq mi (23.36 km2)  10.9%,UTC-5 (EST),[1],,http://www.lakelandgov.net/,"Lakeland, like most other parts of Florida north of Lake Okeechobee, is in the humid subtropical zone (Köppen climate classification: Cfa).[39] Typically, summers are hot and humid with high temperatures seldom dropping below 90°F and 70°F for the overnight low. Like most of Central Florida, afternoon thunderstorms are the norm throughout the summer. Winters in Lakeland are drier and mild, with frequent sunny skies. High temperatures range in the low 70s during the day, with lows in the 50s. Rare cold snaps drop temperatures below freezing every few years.
","/wiki/Lakeland,_Florida"
274,Gresham, Oregon,"110,158","105,594",+4.32%,23.3 sq mi,60.3 km2,"4,786/sq mi","1,848/km2",23.20 sq mi (60.09 km2),0.23 sq mi (0.60 km2),UTC−8 (Pacific),Shane Bemis,,http://www.greshamoregon.gov/,"Climate type by Köppen classification: Csa.
","/wiki/Gresham,_Oregon"
275,Richmond, California,"110,146","103,701",+6.21%,30.1 sq mi,78.0 km2,"3,648/sq mi","1,409/km2",30.05 sq mi (77.83 km2),22.46 sq mi (58.17 km2)  42.71%,UTC−8 (Pacific),,,http://www.ci.richmond.ca.us,"Richmond, like much of the coastal East Bay, enjoys a very mild Mediterranean climate year round. The climate is slightly warmer than the coastal areas of San Francisco, the Peninsula, and Marin County; it is however more temperate than areas further inland. The average highs range from 57 to 73°F (14 to 23°C) and the lows between 43 to 56°F (6 to 13°C) year round.[34] Richmond usually enjoys an ""Indian summer"", and September is, on average, the warmest month. January is on average the coldest month.
","/wiki/Richmond,_California"
276,Billings, Montana,"109,550","104,170",+5.16%,43.7 sq mi,113.2 km2,"2,525/sq mi",975/km2,43.41 sq mi (112.43 km2),0.11 sq mi (0.28 km2),UTC−7 (Mountain),City Admin.,"Billings Logan International Airport is close to downtown; it sits on top of the Rims, a 500-foot (150m) cliff that overlooks the downtown core. Scheduled passenger service and air cargo flights operate from this airfield.
",http://www.cityofbillings.net/,"Billings has a hot-summer humid continental climate, closely bordering on semi-arid (Köppen Dfa/BSk),[53] with dry, hot summers, and cold, dry winters. In the summer, the temperature can rise to over 100°F or 37.8°C (1 to 3 times per year)[54][55] while the winter will bring temperatures below 0°F or −17.8°C on an average of 17 to 18 nights per year.[54] The snowfall averages 55 inches or 1.40 metres a year, but because of warm chinook winds that pass through the region during the winter, snow does not usually accumulate heavily or remain on the ground for long: the greatest depth has been 33 inches or 0.84 metres on April 5, 1955, after a huge storm which dumped 4.22 inches or 107.2 millimetres of water equivalent precipitation as snow in the previous three days under temperatures averaging 26.7°F (−2.9°C).
","/wiki/Billings,_Montana"
277,Inglewood, California,"109,419","109,673",−0.23%,9.1 sq mi,23.6 km2,"12,160/sq mi","4,700/km2",9.07 sq mi (23.49 km2),0.03 sq mi (0.06 km2)  0.27%,UTC−8 (Pacific),,,http://www.cityofinglewood.org,"According under to the Köppen Climate Classification system (Csb on the coast, Csa on the inland) Inglewood has a Mediterranean climate.[39]
","/wiki/Inglewood,_California"
278,Broken Arrow, Oklahoma,"109,171","98,850",+10.44%,61.7 sq mi,159.8 km2,"1,741/sq mi",672/km2,45.0 sq mi (116.5 km2),0.6 sq mi (1.6 km2),UTC−6 (CST),City,,http://www.brokenarrowok.gov,"Broken Arrow has the typical eastern and central Oklahoma humid subtropical climate (Köppen Cfa) with uncomfortably hot summers and highly variable winters that can range from very warm to very cold depending on whether the air mass comes from warmed air over the Rocky Mountains or very cold polar anticyclones from Canada.
","/wiki/Broken_Arrow,_Oklahoma"
279,Sandy Springs, Georgia,"108,797","93,853",+15.92%,37.7 sq mi,97.6 km2,"2,804/sq mi","1,083/km2",37.6 sq mi (97.5 km2),0.9 sq mi (2.3 km2),UTC−5 (EST),Rusty Paul,,http://www.sandyspringsga.gov,"Sandy Springs has a humid subtropical climate (Köppen climate classification Cfa). During January and February 2014, Sandy Springs and Atlanta experienced an ice storm which gained national attention due to the huge traffic jams all over interstates such as 285, 75, and GA 400. People were forced to stay in their cars overnight in freezing temperatures.[citation needed]
","/wiki/Sandy_Springs,_Georgia"
280,Jurupa Valley, California,"108,393",0,NA[ab],42.9 sq mi,111.1 km2,"2,414/sq mi",932/km2,42.94 sq mi (111.22 km2),0.74 sq mi (1.91 km2),UTC-8 (PST),City Council,,http://jurupavalley.org,,"/wiki/Jurupa_Valley,_California"
281,Hillsboro, Oregon,"108,389","91,611",+18.31%,25.0 sq mi,64.7 km2,"4,207/sq mi","1,624/km2",24.24 sq mi (62.8 km2),0.01 sq mi (0.03 km2),UTC−8 (PST),Steve Callaway,,http://www.hillsboro-oregon.gov/,"Summers in Hillsboro are generally warm, but temperatures year-round are moderated by a marine influence from the Pacific Ocean.[56] The Willamette Valley in which Hillsboro lies receives the majority of its precipitation during the winter months, with the wettest period from November through March.[56] This occasionally includes snowfall.[57] Hillsboro receives precipitation on 161days per year, on average.[58] The average yearly precipitation between 1930 and 1998 was 38 inches (970mm).[59] August is the warmest month with an average high temperature of 81°F (27°C), while January is the coolest month with an average high of 46°F (8°C).[60] The highest recorded temperature, 108°F (42°C), occurred on July 19, 1956, and the lowest, −10°F (−23°C), occurred on January 31, 1950.[60]
","/wiki/Hillsboro,_Oregon"
282,Waterbury, Connecticut,"108,093","110,366",−2.06%,28.5 sq mi,73.8 km2,"3,799/sq mi","1,467/km2",28.5 sq mi (73.9 km2),City,UTC−5 (Eastern),Neil O'Leary,,http://www.waterburyct.org,,"/wiki/Waterbury,_Connecticut"
283,Santa Maria, California,"107,408","99,553",+7.89%,22.8 sq mi,59.1 km2,"4,662/sq mi","1,800/km2",22.78 sq mi (59.01 km2),0.64 sq mi (1.65 km2)  2.73%,UTC−8 (Pacific),[3],,http://www.ci.santa-maria.ca.us,"Santa Maria experiences a cool Mediterranean climate (Köppen climate classification Csb) typical of coastal areas of California north of Point Conception.  The climate is mostly sunny, refreshed by the ocean breeze. Fog is common. Snow in the lowest parts of the city is virtually unknown, with the last brief flurry recorded in January 1949. The only recorded earlier snowfall was in January 1882. Rainfall averages 14 inches (360mm) annually.
","/wiki/Santa_Maria,_California"
284,Boulder, Colorado,"107,353","97,385",+10.24%,24.8 sq mi,64.2 km2,"4,358/sq mi","1,683/km2",24.84 sq mi (64.33 km2),1.01 sq mi (2.61 km2),UTC-7 (MST),Mayor Pro Tem,,http://bouldercolorado.gov,"Boulder has a temperate climate typical for much of the state and receives many sunny or mostly sunny days each year. Under the Köppen climate classification, the city has a semi-arid climate (Köppen BSk).[28][29]  Winter conditions range from generally mild to the occasional bitterly cold, with highs averaging in the mid to upper 40s °F (7–9°C). There are 4.6 nights annually when the temperature reaches 0°F (−18°C). Because of orographic lift, the mountains to the west often dry out the air passing over the Front Range, often shielding the city from precipitation in winter, though heavy falls may occur. Snowfall averages 88 inches (220cm) per season, but snow depth is usually shallow; a strong warming sun due to the high elevation can quickly melt snow cover during the day, and Chinook winds bring rapid warm-ups throughout the winter months. Summers are very warm and dry, with 30 days reaching 90°F (32°C) or above.[30] Diurnal temperature variation is typically large year-round due to the high-elevation dry climate. Daytime highs are generally cooler than most other Front Range cities with similar elevations. However, Boulder's nighttime lows, particularly during winter, are some of the mildest in the state. Daily average temperatures remain above 32°F (0°C) year-round.[31]
","/wiki/Boulder,_Colorado"
285,Greeley, Colorado,"107,348","92,889",+15.57%,47.8 sq mi,123.8 km2,"2,176/sq mi",840/km2,47.79 sq mi (123.79 km2),0.12 sq mi (0.31 km2),UTC−7 (MST),[4],,http://greeleygov.com,"Greeley experiences a semi-arid climate (Köppen BSk). High temperatures are generally around 90–95°F (32°C) in the summer and 40-45°F (4°C) in the winter, although significant variation occurs. The hottest days generally occur around the third week of July and the coldest in January. Nighttime lows are near 60°F (16°C) in the summer and around 15–20°F (−9°C) in the winter. Record high temperatures of 112°F (44.4°C) have been recorded, as have record low temperatures of –25°F (–32°C). The first freeze typically occurs around October 10 and the last can happen as late as May 4. Extratropical cyclones which disrupt the weather for the eastern two-thirds of the US often originate in or near Colorado, which means Greeley does not experience many fully developed storm systems. Warm fronts, sleet, and freezing rain are practically nonexistent here. In addition, the city's proximity to the Rocky Mountains and lower elevation, compared to the mountains west of the city, result in less precipitation and fewer thunderstorms. This is paradoxical, because adjacent areas (mostly farmland) experience between 7 and 9 hail days per year.[18]
","/wiki/Greeley,_Colorado"
286,Daly City, California,"107,008","101,123",+5.82%,7.6 sq mi,19.7 km2,"14,009/sq mi","5,409/km2",7.64 sq mi (19.79 km2),0.00 sq mi (0.00 km2)  0%,UTC−8 (Pacific),[2],,http://www.dalycity.org,"Daly City's climate is similar to San Francisco's climate, with fog occurring in the spring and early-late summer. Summers are cool and dry, whereas winters are merely mild, being not too chilly, and wet.
","/wiki/Daly_City,_California"
287,Meridian, Idaho,"106,804","75,092",+42.23%,29.8 sq mi,77.2 km2,"3,584/sq mi","1,384/km2",29.72 sq mi (76.99 km2),0.06 sq mi (0.16 km2),UTC−7 (Mountain),[2],,http://www.meridiancity.org,"Meridian's climate is characterized as semi-arid with four distinct seasons. Meridian experiences hot and dry summers where temperatures can often exceed 100°F (38°C), as well as cold winters with occasional light snowfall. Rainfall is usually infrequent and light, usually averaging less than an inch (25.4mm) per month. December is the wettest month with an average of 1.55 inches (39mm) of precipitation, and August is the driest month with 0.24 inches (6.1mm). Spring and fall are generally temperate.
","/wiki/Meridian,_Idaho"
288,Lewisville, Texas,"106,586","95,290",+11.85%,36.7 sq mi,95.1 km2,"2,852/sq mi","1,101/km2",36.4 sq mi (94.27 km2),6.07 sq mi (15.72 km2),UTC−6 (Central),,,http://www.cityoflewisville.com,,"/wiki/Lewisville,_Texas"
289,Davie, Florida,"106,558","91,992",+15.83%,34.9 sq mi,90.4 km2,"2,919/sq mi","1,127/km2",34.90 sq mi (90.40 km2),0.83 sq mi (2.16 km2)  2.32%,UTC-5 (EST),D,,http://www.davie-fl.gov,,"/wiki/Davie,_Florida"
290,West Covina, California,"106,311","106,098",+0.20%,16.0 sq mi,41.4 km2,"6,740/sq mi","2,600/km2",16.04 sq mi (41.55 km2),0.05 sq mi (0.12 km2)  0.30%,UTC−8 (PST),[2],,http://www.westcovina.org,"The San Gabriel Valley region has a hot-summer Mediterranean climate, with summer temperatures averaging above 73°F.[14]
","/wiki/West_Covina,_California"
291,League City, Texas,"106,244","83,560",+27.15%,51.2 sq mi,132.6 km2,"1,992/sq mi",769/km2,51.3 sq mi (132.8 km2),1.7 sq mi (4.4 km2),UTC-6 (Central (CST)),City Council,,http://www.leaguecitytx.gov/,"The climate in this area is characterized by hot, humid summers and generally mild to cool winters.  According to the Köppen Climate Classification system, League City has a humid subtropical climate, abbreviated ""Cfa"" on climate maps.[14]
","/wiki/League_City,_Texas"
292,Tyler, Texas,"105,729","96,900",+9.11%,56.6 sq mi,146.6 km2,"1,852/sq mi",715/km2,54.2 sq mi (140.5 km2),0.1 sq mi (0.3 km2),UTC−6 (Central),Martin Heines,,http://www.cityoftyler.org,"Tyler experiences weather typical of East Texas, which is unpredictable, especially in the spring. All of East Texas has the humid subtropical climate typical of the American South.
","/wiki/Tyler,_Texas"
